276,Tony Alvarez
277,Victor Alvarez
278,Wilson Alvarez
279,Max Alvis
280,Billy Alvord
281,Brant Alyea
282,Joey Amalfitano
283,Rich Amaral
284,Alexi Amarista
285,Ruben Amaro
286,Ruben Amaro
287,Wayne Ambler
288,Chip Ambres
289,Hector Ambriz
290,Ed Amelung
291,Red Ames
292,Steve Ames
293,Alfredo Amezaga
294,Doc Amole
295,Sandy Amoros
296,Vicente Amor
297,Walter Ancker
298,Alf Anderson
299,Allan Anderson
300,Andy Anderson
301,Bill Anderson
302,Bob Anderson
303,Brady Anderson
304,Brian Anderson
305,Brian Anderson
306,Brett Anderson
307,Bryan Anderson
308,Bud Anderson
309,Chase Anderson
310,Craig Anderson
311,Dave Anderson
312,Dave Anderson
313,Drew Anderson
314,Dwain Anderson
315,Ferrell Anderson
316,Fred Anderson
317,Garret Anderson
318,George Anderson
319,Goat Anderson
320,Hal Anderson
321,Harry Anderson
322,Jason Anderson
323,Jim Anderson
324,Jimmy Anderson
325,John Anderson
326,John Anderson
327,Josh Anderson
328,Kent Anderson
329,Larry Anderson
330,Larry Andersen
331,Lars Anderson
332,Matt Anderson
333,Marlon Anderson
334,Mike Anderson
335,Mike Anderson
336,Red Anderson
337,Rick Anderson
338,Rick Anderson
339,Scott Anderson
340,Sparky Anderson
341,Varney Anderson
342,Walter Anderson
343,Wingo Anderson
344,Robert Andino
345,Steve Andrade
346,Clayton Andrews
347,Ed Andrews
348,Elbert Andrews
349,Ernie Andres
350,Fred Andrews
351,Hub Andrews
352,Ivy Andrews
353,Jim Andrews
354,John Andre
355,John Andrews
356,Kim Andrew
357,Mike Andrews
358,Nate Andrews
359,Rob Andrews
360,Shane Andrews
361,Stan Andrews
362,Wally Andrews
363,Bill Andrus
364,Elvis Andrus
365,Fred Andrus
366,Wyman Andrus
367,Joaquin Andujar
368,Luis Andujar
369,Norm Angelini
370,Matt Angle
371,Tom Angley
372,Pat Ankenman
373,Rick Ankiel
374,Dean Anna
375,Bill Annis
376,Cap Anson
377,Eric Anthony
378,Joe Antolick
379,Bill Antonello
380,John Antonelli
381,Johnny Antonelli
382,Matt Antonelli
383,Nori Aoki
384,Luis Aparicio
385,Bob Apodaca
386,Luis Aponte
387,Kevin Appier
388,Ed Appleton
389,Fred Applegate
390,Pete Appleton
391,Luke Appling
392,Greg Aquino
393,Luis Aquino
394,Angel Aragon
395,Jack Aragon
396,Maurice Archdeacon
397,Chris Archer
398,Fred Archer
399,Jimmy Archer
400,Jim Archer
401,George Archie
402,Jose Arcia
403,Oswaldo Arcia
404,Dan Ardell
405,Rugger Ardizoia
406,Joe Ardner
407,Danny Ardoin
408,Frank Arellanes
409,Nolan Arenado
410,J. P. Arencibia
411,Hank Arft
412,Alex Arias
413,Alberto Arias
414,George Arias
415,Joaquin Arias
416,Rudy Arias
417,Buzz Arlett
418,Don Arlich
419,Steve Arlin
420,Marcos Armas
421,Tony Armas
